Categoria,Nombre Usuario,Libro, Calificacion (cerradas)
Fantasia,Yeudiel ,Harry Potter,5
Suspenso,Eduardo,One Shot,5
Novela,FernandoA ,On the road,5
Novela ,Edgar,The Pillars of the Earth,4
Realismo mágico,Daniel,100 años de soledad ,5
Teatro,Enrique,La casa de Bernarda Alba,5
Autobiografía,Hugo,Una educación,5
Ciencia Ficcion,Enrique,Do androids dream of electric sheep?,4
Novela ,Hugo,Solo quedó nuestra historia,3
Cuento,Hugo,El Tapiz Amarillo,4
Novela,Enrique,Lazarillo de Tormes,1
Novela,Daniel,La cancion de Aquiles,5
Novela,Enrique,Doña Perfecta,4
Cuento,Hugo,La metamorfosis,4
Cuento,Enrique,"Erecciones, eyaculaciones, exhibiciones",4
Ciencia Ficcion,Enrique,Un mundo feliz,5
Novela,Enrique ,Enders Game,3
Novela,Daniel,Pedro Paramo,3
Novela,Enrique,Travesuras de la niña mala,5
Novela,Hugo,La cancion de Aquiles,4
Novela,Enrique,El Periquillo de Sarniento,2
Cuento,FernandoA ,Exhalation,4
Novela,Guillermo,1Q84,5
Novela,Guillermo,El coronel no tiene quien le escriba,4
Novela,Guillermo,El señor de las moscas,4
Ciencia Ficcion,Guillermo,La maquina del tiempo,4
Ciencia Ficcion,Guillermo,La guerra de los mundos,4
Novela,FernandoS,Bajo la rueda ,4
Novela,FernandoS,Siddharta,5
Novela,FernandoS,El Lobo Estepario,5
Suspenso,FernandoS,One Shot,4
Novela,FernandoS,El Periquillo de Sarniento,4
Novela,Ariel,Rayuela,10
Novela,Ariel,Crimen y castigo,8
Ensayo,Ariel,Fenomenología del espíritu,9
Novela,Ariel,Ulises,9
Novela,FernandoA ,Siddharta,3
Ciencia Ficcion,FernandoA ,Un mundo feliz,4
Novela,Ariel,The catcher in the rye,10
Novela,Ariel,La insoportable levedad del ser,9
Novela,Lucas,The catcher in the rye,8
Cuento,Lucas,The masque of the red death,10
Cuento,Lucas,The tell-tale heart,10
Novela,Lucas,Pedro Paramo,4
Cuento,Lucas,The fall of the house of usher,8
